competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,chocolate-prediction,win-prediction
100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,0,0.5801
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,0,0.2483
One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086,1,0.5098
One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505,1,0.7404
Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,1,0.4046
Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,0,0.8732
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,0,0.1602
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,1,0.8029
Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963,0,0.4931
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,0,0.5185
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,1,0.3277
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,0,0.0908
Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,0,0.1894
Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,0,0.7050
Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,1,0.7549
Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,1,0.8892
Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,0,0.1070
Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,1,0.8345
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,1,0.7139
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,1,0.8356
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,0,0.7025
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772,1,0.5853
HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454,1,0.7681
HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481,1,0.2737
HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,0,0.4571
HersheyÕs Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122,0,0.6312
Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439,0,0.9853
Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925,0,0.4325
Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686,0,0.4614
Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557,0,0.2902
Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056,1,0.1447
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392,0,0.6549
Peanut butter M&MÕs,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505,0,0.3441
M&MÕs,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585,0,0.0915
Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716,1,0.9624
Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072,1,0.3651
Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556,1,0.3709
Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701,0,0.0046
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334,0,0.4919
Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754,1,0.2330
Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451,0,0.6136
Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046,0,0.4246
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641,0,0.2159
Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068,0,0.5643
Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341,0,0.4702
Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468,1,0.1860
Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597,0,0.2888
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788,1,0.7879
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,0,0.4741
Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511,0,0.3041
Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522,0,0.6489
ReeseÕs Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257,0,0.4401
ReeseÕs Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029,0,0.8848
ReeseÕs pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499,1,0.7997
ReeseÕs stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901,0,0.1123
Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756,1,0.6129
Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286,0,0.3184
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,1,0.6835
Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,1,0.5695
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722,1,0.6693
Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,0,0.5339
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695,0,0.5821
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,1,0.2174
Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827,1,0.1483
Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782,1,0.8764
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,1,0.8720
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998,0,0.2978
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947,0,0.1834
Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,0,0.2389
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991,0,0.1317
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,1,0.1528
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,0,0.2435
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865,0,0.7718
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,1,0.7300
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651,1,0.2023
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,0,0.4431
